127.0.0.1 - - [01/Sep/2022:14:09:02 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:09:03 +0900] "GET /myapp/ HTTP/1.1" 200 14626
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:09:03 +0900] "GET /myapp/resources/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:09:03 +0900] "GET /myapp/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:09:03 +0900] "GET /myapp/resources/imgs/loginPassword.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:09:03 +0900] "GET /myapp/resources/imgs/top_banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:09:03 +0900] "GET /myapp/resources/imgs/loginJoin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:09:03 +0900] "GET /myapp/resources/imgs/loginCustomer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:09:03 +0900] "GET /myapp/resources/movieImgs/Cbbh2AGtwN1cPDcXIb2TkcF2lgwWBUtl_420.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:09:03 +0900] "GET /myapp/resources/movieImgs/t9AbCzKv1Syik1E15VKybp45tEwWr73a_420.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:09:03 +0900] "GET /myapp/resources/movieImgs/topgun.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:09:03 +0900] "GET /myapp/resources/movieImgs/8rQ7apqkUoMo3JE2D5XY3DgAcd4PovW1_420.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:09:03 +0900] "GET /myapp/resources/movieImgs/djm7aYuL9bQGZRsxyUH75wATz9ub9ouk_420.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:09:03 +0900] "GET /myapp/resources/movieImgs/fpItHJAg7IOzxtez042463Gk0rPRkIiQ_420.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:09:04 +0900] "GET /myapp/resources/movieImgs/wo9hN6dpVFiZHp4d3MpGmPEGTC0CE2yt_420.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:09:04 +0900] "GET /myapp/resources/movieImgs/J4AfSbvwKUciwVWrxyln4Z7K1hMMfZv7_420.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:09:04 +0900] "GET /myapp/resources/movieImgs/oZfETtpEvKGpdY2JQo2Z6wFL0S4cpKy5_420.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:09:04 +0900] "GET /myapp/resources/movieImgs/k9yRSehUQSb98QZKnz7MJ5riaOJ8NTHE_420.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:09:04 +0900] "GET /myapp/resources/movieImgs/O3mxQblVEa4nbd8uq46Ovc8YGj6gik2g_420.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:09:04 +0900] "GET /myapp/resources/movieImgs/antH4SXCfejWo6FdMXRTUVp4ssxSINaj_420.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:09:04 +0900] "GET /myapp/resources/imgs/footer_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:09:14 +0900] "GET /myapp/member/agreement.do HTTP/1.1" 200 32971
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:09:32 +0900] "GET /myapp/member/joinForm.do HTTP/1.1" 200 7110
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:09:32 +0900] "GET /myapp/resources/imgs/moon-g8471bddc6_1920.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:09:42 +0900] "POST /myapp/member/idCheck.do HTTP/1.1" 405 802
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:09:42 +0900] "POST /myapp/member/idCheck.do HTTP/1.1" 405 802
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:09:44 +0900] "POST /myapp/member/idCheck.do HTTP/1.1" 405 802
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:09:44 +0900] "POST /myapp/member/idCheck.do HTTP/1.1" 405 802
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:09:45 +0900] "POST /myapp/member/idCheck.do HTTP/1.1" 405 802
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:09:45 +0900] "POST /myapp/member/idCheck.do HTTP/1.1" 405 802
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:10:10 +0900] "POST /myapp/member/join.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:10:10 +0900] "GET /myapp/ HTTP/1.1" 200 14626
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:10:11 +0900] "GET /myapp/member/loginForm.do HTTP/1.1" 200 4083
